"","Ska","Cin","Eug","MS","MC","BA","VA"
"Aglae_caerulea",0.2,0,0.2,0,0.6,0,0
"Eufriesea_auriceps",0,0.428571428571429,0.142857142857143,0,0.142857142857143,0,0.285714285714286
"Eufriesea_concava",0,0.333333333333333,0,0,0,0.333333333333333,0.333333333333333
"Eufriesea_dentilabris",0,0.666666666666667,0,0,0,0,0.333333333333333
"Eufriesea_flaviventris",0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333
"Eufriesea_mussitans",0,0.5,0,0,0,0,0.5
"Eufriesea_ornata",0,0.1875,0.4375,0.1875,0,0.125,0.0625
"Eufriesea_pulchra",0,0.157894736842105,0.210526315789474,0.473684210526316,0,0,0.157894736842105
"Eufriesea_smaragdina",0,0,0.333333333333333,0,0,0,0.666666666666667
"Eufriesea_superba",0,0.214285714285714,0.0714285714285714,0.285714285714286,0,0.142857142857143,0.285714285714286
"Eufriesea_surinamensis",0.0588235294117647,0,0,0.176470588235294,0,0.117647058823529,0.647058823529412
"Eufriesea_violacea",0,0.5,0,0.0625,0,0,0.4375
"Euglossa_adiastola",0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0
"Euglossa_allosticta",0.25,0.4375,0.125,0,0.125,0,0.0625
"Euglossa_amazonica",0.115384615384615,0.230769230769231,0.230769230769231,0.115384615384615,0.0384615384615385,0.115384615384615,0.153846153846154
"Euglossa_analis",0.2,0.2,0.4,0.1,0,0.1,0
"Euglossa_annectans",0,0.384615384615385,0.384615384615385,0,0.0769230769230769,0.0769230769230769,0.0769230769230769
"Euglossa_aratingae",0,0.5,0,0,0,0,0.5
"Euglossa_augaspis",0.0666666666666667,0.233333333333333,0.166666666666667,0.166666666666667,0.0666666666666667,0.0666666666666667,0.233333333333333
"Euglossa_avicula",0,0.5,0,0.166666666666667,0,0,0.333333333333333
"Euglossa_azureoviridis",0,0.75,0,0,0.25,0,0
"Euglossa_bembei",0.5,0,0,0,0,0,0.5
"Euglossa_bidentata",0.111111111111111,0.222222222222222,0.222222222222222,0.166666666666667,0,0.0555555555555556,0.222222222222222
"Euglossa_bursigera",0.0833333333333333,0.333333333333333,0.25,0.0833333333333333,0.0833333333333333,0,0.166666666666667
"Euglossa_calycina",0.25,0.25,0,0.25,0,0,0.25
"Euglossa_carolina",0.0638297872340425,0.382978723404255,0.25531914893617,0.0212765957446809,0.106382978723404,0.0638297872340425,0.106382978723404
"Euglossa_chalybeata",0,0.466666666666667,0.133333333333333,0.2,0,0.0666666666666667,0.133333333333333
"Euglossa_championi",0,0.4,0,0.4,0,0,0.2
"Euglossa_chlorina",0.142857142857143,0.285714285714286,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0
"Euglossa_clausi",0.25,0.25,0.25,0,0,0,0.25
"Euglossa_cognata",0.0434782608695652,0.173913043478261,0.0869565217391304,0.391304347826087,0.0869565217391304,0.173913043478261,0.0434782608695652
"Euglossa_crassipunctata",0.125,0.1875,0.1875,0.1875,0.0625,0.0625,0.1875
"Euglossa_cybelia",0.166666666666667,0.25,0,0.25,0,0.166666666666667,0.166666666666667
"Euglossa_decorata",0,0,0,0,0,0,1
"Euglossa_despecta",0.16,0.4,0.24,0.04,0.12,0,0.04
"Euglossa_dissimula",0.222222222222222,0.333333333333333,0.222222222222222,0,0,0.111111111111111,0.111111111111111
"Euglossa_dodsoni",0,0.285714285714286,0.142857142857143,0.142857142857143,0.0714285714285714,0.214285714285714,0.142857142857143
"Euglossa_dressleri",0.125,0.25,0,0.125,0,0.25,0.25
"Euglossa_fimbriata",0.0294117647058824,0.470588235294118,0.264705882352941,0,0.147058823529412,0,0.0882352941176471
"Euglossa_flammea",0,0.428571428571429,0.285714285714286,0,0,0.142857142857143,0.142857142857143
