"Aglae_caerulea","Eufriesea_auriceps","Eufriesea_concava","Eufriesea_dentilabris","Eufriesea_flaviventris","Eufriesea_mussitans","Eufriesea_ornata","Eufriesea_pulchra","Eufriesea_smaragdina","Eufriesea_superba","Eufriesea_surinamensis","Eufriesea_violacea","Euglossa_adiastola","Euglossa_allosticta","Euglossa_amazonica","Euglossa_analis","Euglossa_annectans","Euglossa_aratingae","Euglossa_augaspis","Euglossa_avicula","Euglossa_azureoviridis","Euglossa_bembei","Euglossa_bidentata","Euglossa_bursigera","Euglossa_calycina","Euglossa_carolina","Euglossa_chalybeata","Euglossa_championi","Euglossa_chlorina","Euglossa_clausi","Euglossa_cognata","Euglossa_crassipunctata","Euglossa_cybelia","Euglossa_decorata","Euglossa_despecta","Euglossa_dissimula","Euglossa_dodsoni","Euglossa_dressleri","Euglossa_fimbriata","Euglossa_flammea","Euglossa_gaianii","Euglossa_gorgonensis","Euglossa_hansoni","Euglossa_hemichlora","Euglossa_heterosticta","Euglossa_ignita","Euglossa_igniventris","Euglossa_imperialis","Euglossa_intersecta","Euglossa_iopoecila","Euglossa_ioprosopa","Euglossa_iopyrrha","Euglossa_leucotricha","Euglossa_liopoda","Euglossa_magnipes","Euglossa_marianae","Euglossa_melanotricha","Euglossa_milenae","Euglossa_mixta","Euglossa_modestior","Euglossa_monnei","Euglossa_mourei","Euglossa_occidentalis","Euglossa_orellana","Euglossa_pepei","Euglossa_perpulchra","Euglossa_pleosticta","Euglossa_prasina","Euglossa_retroviridis","Euglossa_roderici","Euglossa_roubiki","Euglossa_rugilabris","Euglossa_sapphirina","Euglossa_securigera","Euglossa_stellfeldi","Euglossa_townsendi","Euglossa_tridentata","Euglossa_truncata","Euglossa_variabilis","Euglossa_villosiventris","Euglossa_viridifrons","Euglossa_viridis","Euglossa_viridissima","Euglossa_violaceifrons","Eulaema_atleticana","Eulaema_bombiformis","Eulaema_cingulata","Eulaema_flavescens","Eulaema_marcii","Eulaema_meriana","Eulaema_mocsaryi","Eulaema_nigrita","Eulaema_niveofasciata","Eulaema_peruviana","Eulaema_pseudocingulata","Eulaema_seabrai","Exaerete_dentata","Exaerete_frontalis","Exaerete_lepeletieri","Exaerete_smaragdina"
0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,89,0,0,0,0,492,0,0,0,0,0,0,0,12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,372,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,56,0,0,0,1,0,0,0,0,0,0,0,0,149,0,0,0,0,679,0,0,0,0,0,0,0,4
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,63,0,0,0,0,600,0,0,0,0,0,0,0,6
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,18,1,0,0,3,0,0,0,0,0,0,0,0,0,0,33,0,0,102,0,0,0,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,60,0,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,99,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
