"","ID","enter","reference","journal","year","study_area","sampling.unit","SU_ID","lat","long","area_m2","habitat_type","habitat","date","startyear","startmonth","endyear","endmonth","study_duration_m","sampling_times","bait_number","baiting_method","sample_duration","number_stations","bait","genus","species","number","baits_clean"
"1",1,"ØO","Aguiar & Gaglianone 2011","Tropical Zoology",2011,"Morro do Itaoca","Morro do Itaoca: Site1","1-1",-21.8,-41.433333,3000000,"Inselberg","Semideciduous forest","May 2008 - April 2009",2008,5,2009,4,12,11,7,"NetTraps",360,1,"Total","Eufriesea","surinamensis",5,"eugenol_methyl cinnamate_vanillin_18-cineole_benzyl acetate_methyl salicylate_skatole"
"2",1,"ØO","Aguiar & Gaglianone 2011","Tropical Zoology",2011,"Morro do Itaoca","Morro do Itaoca: Site1","1-1",-21.8,-41.433333,3000000,"Inselberg","Semideciduous forest","May 2008 - April 2009",2008,5,2009,4,12,11,7,"NetTraps",360,1,"Total","Eufriesea","violacea",2,"eugenol_methyl cinnamate_vanillin_18-cineole_benzyl acetate_methyl salicylate_skatole"
"3",1,"ØO","Aguiar & Gaglianone 2011","Tropical Zoology",2011,"Morro do Itaoca","Morro do Itaoca: Site1","1-1",-21.8,-41.433333,3000000,"Inselberg","Semideciduous forest","May 2008 - April 2009",2008,5,2009,4,12,11,7,"NetTraps",360,1,"Total","Euglossa","cordata",517,"eugenol_methyl cinnamate_vanillin_18-cineole_benzyl acetate_methyl salicylate_skatole"
"4",1,"ØO","Aguiar & Gaglianone 2011","Tropical Zoology",2011,"Morro do Itaoca","Morro do Itaoca: Site1","1-1",-21.8,-41.433333,3000000,"Inselberg","Semideciduous forest","May 2008 - April 2009",2008,5,2009,4,12,11,7,"NetTraps",360,1,"Total","Euglossa","despecta",2,"eugenol_methyl cinnamate_vanillin_18-cineole_benzyl acetate_methyl salicylate_skatole"
"5",1,"ØO","Aguiar & Gaglianone 2011","Tropical Zoology",2011,"Morro do Itaoca","Morro do Itaoca: Site1","1-1",-21.8,-41.433333,3000000,"Inselberg","Semideciduous forest","May 2008 - April 2009",2008,5,2009,4,12,11,7,"NetTraps",360,1,"Total","Euglossa","fimbriata",2,"eugenol_methyl cinnamate_vanillin_18-cineole_benzyl acetate_methyl salicylate_skatole"
"6",1,"ØO","Aguiar & Gaglianone 2011","Tropical Zoology",2011,"Morro do Itaoca","Morro do Itaoca: Site1","1-1",-21.8,-41.433333,3000000,"Inselberg","Semideciduous forest","May 2008 - April 2009",2008,5,2009,4,12,11,7,"NetTraps",360,1,"Total","Euglossa","pleosticta",11,"eugenol_methyl cinnamate_vanillin_18-cineole_benzyl acetate_methyl salicylate_skatole"
"7",1,"ØO","Aguiar & Gaglianone 2011","Tropical Zoology",2011,"Morro do Itaoca","Morro do Itaoca: Site1","1-1",-21.8,-41.433333,3000000,"Inselberg","Semideciduous forest","May 2008 - April 2009",2008,5,2009,4,12,11,7,"NetTraps",360,1,"Total","Euglossa","securigera",25,"eugenol_methyl cinnamate_vanillin_18-cineole_benzyl acetate_methyl salicylate_skatole"
"8",1,"ØO","Aguiar & Gaglianone 2011","Tropical Zoology",2011,"Morro do Itaoca","Morro do Itaoca: Site1","1-1",-21.8,-41.433333,3000000,"Inselberg","Semideciduous forest","May 2008 - April 2009",2008,5,2009,4,12,11,7,"NetTraps",360,1,"Total","Euglossa","truncata",1,"eugenol_methyl cinnamate_vanillin_18-cineole_benzyl acetate_methyl salicylate_skatole"
"9",1,"ØO","Aguiar & Gaglianone 2011","Tropical Zoology",2011,"Morro do Itaoca","Morro do Itaoca: Site1","1-1",-21.8,-41.433333,3000000,"Inselberg","Semideciduous forest","May 2008 - April 2009",2008,5,2009,4,12,11,7,"NetTraps",360,1,"Total","Eulaema","cingulata",89,"eugenol_methyl cinnamate_vanillin_18-cineole_benzyl acetate_methyl salicylate_skatole"
"10",1,"ØO","Aguiar & Gaglianone 2011","Tropical Zoology",2011,"Morro do Itaoca","Morro do Itaoca: Site1","1-1",-21.8,-41.433333,3000000,"Inselberg","Semideciduous forest","May 2008 - April 2009",2008,5,2009,4,12,11,7,"NetTraps",360,1,"Total","Eulaema","nigrita",492,"eugenol_methyl cinnamate_vanillin_18-cineole_benzyl acetate_methyl salicylate_skatole"
"11",1,"ØO","Aguiar & Gaglianone 2011","Tropical Zoology",2011,"Morro do Itaoca","Morro do Itaoca: Site1","1-1",-21.8,-41.433333,3000000,"Inselberg","Semideciduous forest","May 2008 - April 2009",2008,5,2009,4,12,11,7,"NetTraps",360,1,"Total","Exaerete","smaragdina",12,"eugenol_methyl cinnamate_vanillin_18-cineole_benzyl acetate_methyl salicylate_skatole"
"12",2,"AM","Aguiar & Gaglianone 2008","Neotropical Entomology",2008,"Estação Ecológica de Guaxindiba","Mata do Carvão: Preservada","2-1",-21.4,-41.06666667,10530000,"Forest fragment"," Lowland Forest","November 2004 - November 2005",2004,11,2005,11,13,13,7,"Traps",420,2,"Total","Eufriesea","surinamensis",0,"18-cineole_eugenol_vanillin_methyl salicylate_methyl cinnamate_benzyl acetate"
"13",2,"AM","Aguiar & Gaglianone 2008","Neotropical Entomology",2008,"Estação Ecológica de Guaxindiba","Mata do Carvão: Preservada","2-1",-21.4,-41.06666667,10530000,"Forest fragment"," Lowland Forest","November 2004 - November 2005",2004,11,2005,11,13,13,7,"Traps",420,2,"Total","Euglossa","cordata",397,"18-cineole_eugenol_vanillin_methyl salicylate_methyl cinnamate_benzyl acetate"
"14",2,"AM","Aguiar & Gaglianone 2008","Neotropical Entomology",2008,"Estação Ecológica de Guaxindiba","Mata do Carvão: Preservada","2-1",-21.4,-41.06666667,10530000,"Forest fragment"," Lowland Forest","November 2004 - November 2005",2004,11,2005,11,13,13,7,"Traps",420,2,"Total","Euglossa","despecta",3,"18-cineole_eugenol_vanillin_methyl salicylate_methyl cinnamate_benzyl acetate"
